"id","prompt_zh","prompt_fr","answer_fr","answer_zh","prompt","audio_url","prompt_audio_url"
"dialogue_01","[主线问答｜自我介绍｜开场问题] 您好，请您介绍一下自己。","Bonjour, pouvez-vous vous présenter, s'il vous plaît ?","Bonjour, je m'appelle Patrick. Je viens de Chine et je vis actuellement au Canada. Je dirige une entreprise de commerce. J'apprends le français pour mieux communiquer et mieux m'intégrer au Canada.","您好，我叫Patrick。我来自中国，目前生活在加拿大。我经营一家贸易公司。我学习法语是为了更好地沟通并融入加拿大。","主线问答 · 自我介绍 · 开场问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-bonjour-pouvez-vous-vous-presenter-s-il-vous-plait.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-bonjour-pouvez-vous-vous-presenter-s-il-vous-plait.mp3"
"dialogue_02","[主线问答｜自我介绍｜身份追问] 您在加拿大生活多久了？","Depuis combien de temps vivez-vous au Canada ?","Je vis au Canada depuis quelque temps. Au début, j'ai dû m'adapter à un nouvel environnement, mais aujourd'hui je m'y sens de plus en plus à l'aise.","我在加拿大生活一段时间了。刚开始我需要适应新的环境，但现在越来越自在了。","主线问答 · 自我介绍 · 身份追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-depuis-combien-de-temps-vivez-vous-au-canada.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-depuis-combien-de-temps-vivez-vous-au-canada.mp3"
"dialogue_03","[主线问答｜自我介绍｜个人追问] 您会用几个词怎样形容自己？","Comment vous décririez-vous en quelques mots ?","Je dirais que je suis persévérant et adaptable. Quand j'ai un objectif important, je progresse régulièrement et j'essaie de trouver des solutions concrètes.","我认为自己有毅力、适应能力强。当我有重要目标时，我会稳定推进，并努力寻找具体的解决办法。","主线问答 · 自我介绍 · 个人追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-comment-vous-decririez-vous-en-quelques-mots.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-comment-vous-decririez-vous-en-quelques-mots.mp3"
"dialogue_04","[主线问答｜工作与经历｜工作问题] 您是做什么工作的？","Que faites-vous dans la vie ?","Je dirige une entreprise de commerce. Mon travail consiste notamment à communiquer avec différents partenaires et à prendre des décisions concrètes.","我经营一家贸易公司。我的工作主要包括与不同合作伙伴沟通并作出具体决策。","主线问答 · 工作与经历 · 工作问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-que-faites-vous-dans-la-vie.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-que-faites-vous-dans-la-vie.mp3"
"dialogue_05","[主线问答｜工作与经历｜工作追问] 您最喜欢工作中的什么？","Qu'est-ce que vous aimez le plus dans votre travail ?","J'aime surtout le fait que mon travail soit varié. Chaque situation est différente, donc je dois communiquer, m'organiser et m'adapter rapidement.","我最喜欢这份工作的多样性。每种情况都不同，所以我需要沟通、组织并迅速适应。","主线问答 · 工作与经历 · 工作追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-qu-est-ce-que-vous-aimez-le-plus-dans-votre-travail.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-qu-est-ce-que-vous-aimez-le-plus-dans-votre-travail.mp3"
"dialogue_06","[主线问答｜工作与经历｜能力追问] 您的工作中哪种品质很重要？","Quelle qualité est importante dans votre métier ?","À mon avis, l'adaptabilité est essentielle. Elle permet de mieux réagir aux imprévus et de maintenir une bonne relation avec les partenaires.","我认为适应能力非常重要。它能帮助人更好地应对突发情况，并与合作伙伴保持良好关系。","主线问答 · 工作与经历 · 能力追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-quelle-qualite-est-importante-dans-votre-metier.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-quelle-qualite-est-importante-dans-votre-metier.mp3"
"dialogue_07","[主线问答｜法语学习｜学习问题] 您为什么学习法语？","Pourquoi apprenez-vous le français ?","J'apprends le français parce que je vis au Canada. Cette langue est utile dans la vie quotidienne et professionnelle, et elle m'aide aussi à mieux m'intégrer.","我学习法语是因为我生活在加拿大。法语对日常生活和工作都很有用，也能帮助我更好地融入。","主线问答 · 法语学习 · 学习问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-pourquoi-apprenez-vous-le-francais.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-pourquoi-apprenez-vous-le-francais.mp3"
"dialogue_08","[主线问答｜法语学习｜方法追问] 您每天怎样练习法语？","Comment pratiquez-vous le français au quotidien ?","J'écoute des phrases en français et je les répète à voix haute. J'essaie aussi de parler régulièrement afin de gagner en fluidité et en confiance.","我会听法语句子并大声重复，也会尽量经常开口，以提高流利度和信心。","主线问答 · 法语学习 · 方法追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-comment-pratiquez-vous-le-francais-au-quotidien.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-comment-pratiquez-vous-le-francais-au-quotidien.mp3"
"dialogue_09","[主线问答｜法语学习｜困难追问] 对您来说，法语最难的是什么？","Qu'est-ce qui est le plus difficile pour vous en français ?","Le plus difficile pour moi est de répondre spontanément. Pour progresser, je m'entraîne à écouter une question et à formuler immédiatement une réponse courte et claire.","对我来说最难的是即时回答。为了进步，我训练自己听到问题后立刻组织一个简短清楚的回答。","主线问答 · 法语学习 · 困难追问","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-qu-est-ce-qui-est-le-plus-difficile-pour-vous-en-francais.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-qu-est-ce-qui-est-le-plus-difficile-pour-vous-en-francais.mp3"
"dialogue_10","[主线问答｜日常生活｜生活问题] 您平常的一天是怎样的？","À quoi ressemble une journée habituelle pour vous ?","En général, je commence ma journée assez tôt. Je m'occupe de mon travail pendant la journée, puis le soir, je prends du temps pour ma famille et pour apprendre le français.","通常我一天开始得比较早。白天我处理工作，晚上会留出时间陪伴家人和学习法语。","主线问答 · 日常生活 · 生活问题","https://evolxd.github.io/TCFOral/audio/b2/dialogue/answer-a-quoi-ressemble-une-journee-habituelle-pour-vous.mp3","https://evolxd.github.io/TCFOral/audio/b2/dialogue/teacher-a-quoi-ressemble-une-journee-habituelle-pour-vous.mp3"
