"id","prompt_zh","answer_fr","prompt","audio_url"
"1","[01 Présentation personnelle élégante｜1] 您好，我叫 Patrick，来自中国，目前生活在加拿大。","Bonjour, je m'appelle Patrick, je viens de Chine et je vis actuellement au Canada.","Présentation personnelle élégante","https://evolxd.github.io/TCFOral/audio/b2/tache1-01-pra-sentation-personnelle-a-la-gante-01-bonjour-je-m-appelle-patrick-je-viens-de-chine-et-je-vis-actuell.mp3?v=18"
"2","[01 Présentation personnelle élégante｜2] 在职业方面，我经营一家贸易公司，这让我需要与不同合作伙伴沟通并做出具体决策。","Sur le plan professionnel, je dirige une entreprise de commerce, ce qui m'amène à échanger avec différents partenaires et à prendre des décisions concrètes.","Présentation personnelle élégante","https://evolxd.github.io/TCFOral/audio/b2/tache1-01-pra-sentation-personnelle-a-la-gante-02-sur-le-plan-professionnel-je-dirige-une-entreprise-de-commerce-c.mp3?v=18"
"3","[01 Présentation personnelle élégante｜3] 我学习法语，既是为了在日常生活中更好地沟通，也是为了更长久地融入加拿大社会。","J'apprends le français à la fois pour mieux communiquer au quotidien et pour m'intégrer plus durablement dans la société canadienne.","Présentation personnelle élégante","https://evolxd.github.io/TCFOral/audio/b2/tache1-01-pra-sentation-personnelle-a-la-gante-03-j-apprends-le-francais-a-la-fois-pour-mieux-communiquer-au-quoti.mp3?v=18"
"4","[01 Présentation personnelle élégante｜4] 我的目标是无论在个人生活还是职业环境中，都能表达得更准确、更自然。","Mon objectif est de pouvoir m'exprimer avec davantage de précision et de spontanéité, aussi bien dans ma vie personnelle que professionnelle.","Présentation personnelle élégante","https://evolxd.github.io/TCFOral/audio/b2/tache1-01-pra-sentation-personnelle-a-la-gante-04-mon-objectif-est-de-pouvoir-m-exprimer-avec-davantage-de-precisi.mp3?v=18"
"5","[02 Études, travail, projet｜1] 我经营一家贸易公司，主要负责谈判、与合作伙伴协调以及重要决策。","Je dirige une entreprise de commerce, où je m'occupe notamment de la négociation, de la coordination avec les partenaires et des décisions importantes.","Études, travail, projet","https://evolxd.github.io/TCFOral/audio/b2/tache1-02-a-tudes-travail-projet-01-je-dirige-une-entreprise-de-commerce-ou-je-m-occupe-notamment-de.mp3?v=18"
"6","[02 Études, travail, projet｜2] 这份工作既需要创造力，也需要很强的适应能力，因为市场变化很快。","Ce travail exige de la créativité, mais aussi une grande capacité d'adaptation, car le marché évolue rapidement.","Études, travail, projet","https://evolxd.github.io/TCFOral/audio/b2/tache1-02-a-tudes-travail-projet-02-ce-travail-exige-de-la-creativite-mais-aussi-une-grande-capacite.mp3?v=18"
"7","[02 Études, travail, projet｜3] 例如，我会使用一些人工智能工具来更好地整理信息、改进工作方法并节省时间。","Par exemple, j'utilise certains outils d'intelligence artificielle pour mieux organiser l'information, améliorer mes méthodes de travail et gagner du temps.","Études, travail, projet","https://evolxd.github.io/TCFOral/audio/b2/tache1-02-a-tudes-travail-projet-03-par-exemple-j-utilise-certains-outils-d-intelligence-artificiell.mp3?v=18"
"8","[02 Études, travail, projet｜4] 从中期来看，我希望继续发展事业，同时在加拿大建立一个更稳定的发展规划。","À moyen terme, je souhaite continuer à développer mon activité tout en construisant un projet plus stable au Canada.","Études, travail, projet","https://evolxd.github.io/TCFOral/audio/b2/tache1-02-a-tudes-travail-projet-04-a-moyen-terme-je-souhaite-continuer-a-developper-mon-activite-to.mp3?v=18"
"9","[03 Ville, quartier, logement｜1] 我住在一个比较安静的社区，这很适合我，同时距离基本生活服务也不算远。","J'habite dans un quartier plutôt calme, ce qui me convient bien, tout en restant assez proche des services essentiels.","Ville, quartier, logement","https://evolxd.github.io/TCFOral/audio/b2/tache1-03-ville-quartier-logement-01-j-habite-dans-un-quartier-plutot-calme-ce-qui-me-convient-bien-t.mp3?v=18"
"10","[03 Ville, quartier, logement｜2] 我最看重的是出行方便，以及居住环境安全舒适。","Ce que j'apprécie surtout, c'est de pouvoir me déplacer facilement et de vivre dans un environnement sûr et agréable.","Ville, quartier, logement","https://evolxd.github.io/TCFOral/audio/b2/tache1-03-ville-quartier-logement-02-ce-que-j-apprecie-surtout-c-est-de-pouvoir-me-deplacer-facilemen.mp3?v=18"
"11","[03 Ville, quartier, logement｜3] 例如，附近有商店、公共交通和绿地，会让日常生活方便很多。","Par exemple, la proximité des commerces, des transports et des espaces verts rend la vie quotidienne beaucoup plus pratique.","Ville, quartier, logement","https://evolxd.github.io/TCFOral/audio/b2/tache1-03-ville-quartier-logement-03-par-exemple-la-proximite-des-commerces-des-transports-et-des-esp.mp3?v=18"
"12","[03 Ville, quartier, logement｜4] 对我来说，一个好的社区应该在安静、舒适和服务便利之间取得平衡。","Pour moi, un bon quartier doit offrir un équilibre entre la tranquillité, le confort et l'accès aux services.","Ville, quartier, logement","https://evolxd.github.io/TCFOral/audio/b2/tache1-03-ville-quartier-logement-04-pour-moi-un-bon-quartier-doit-offrir-un-equilibre-entre-la-tranq.mp3?v=18"
"13","[04 Loisirs et personnalité｜1] 空闲时，我主要喜欢阅读、散步和听法语内容。","Pendant mon temps libre, j'aime surtout lire, marcher et écouter des contenus en français.","Loisirs et personnalité","https://evolxd.github.io/TCFOral/audio/b2/tache1-04-loisirs-et-personnalita-01-pendant-mon-temps-libre-j-aime-surtout-lire-marcher-et-ecouter-d.mp3?v=18"
"14","[04 Loisirs et personnalité｜2] 这些活动让我能够放松，同时保持规律学习。","Ces activités me permettent de me détendre tout en continuant à apprendre de manière régulière.","Loisirs et personnalité","https://evolxd.github.io/TCFOral/audio/b2/tache1-04-loisirs-et-personnalita-02-ces-activites-me-permettent-de-me-detendre-tout-en-continuant-a.mp3?v=18"
"15","[04 Loisirs et personnalité｜3] 例如，我经常听经济或科技类节目，然后记下一些实用表达。","Par exemple, j'écoute souvent des émissions sur l'économie ou la technologie, puis je note quelques expressions utiles.","Loisirs et personnalité","https://evolxd.github.io/TCFOral/audio/b2/tache1-04-loisirs-et-personnalita-03-par-exemple-j-ecoute-souvent-des-emissions-sur-l-economie-ou-la.mp3?v=18"
"16","[04 Loisirs et personnalité｜4] 我觉得这些习惯很能体现我的性格：我好奇、坚持，而且比较务实。","Je dirais que ces habitudes reflètent assez bien ma personnalité : je suis curieux, persévérant et plutôt pragmatique.","Loisirs et personnalité","https://evolxd.github.io/TCFOral/audio/b2/tache1-04-loisirs-et-personnalita-04-je-dirais-que-ces-habitudes-refletent-assez-bien-ma-personnalite.mp3?v=18"
"17","[05 Pourquoi le Canada / le français｜1] 我学习法语，是因为我想更好地沟通，并在加拿大建立长期的发展规划。","J'apprends le français parce que je veux mieux communiquer et construire un projet durable au Canada.","Pourquoi le Canada / le français","https://evolxd.github.io/TCFOral/audio/b2/tache1-05-pourquoi-le-canada-le-frana-ais-01-j-apprends-le-francais-parce-que-je-veux-mieux-communiquer-et-co.mp3?v=18"
"18","[05 Pourquoi le Canada / le français｜2] 当然，法语在我的移民过程中也有实际价值，但我的动力不只是一场考试。","Bien sûr, cette langue a aussi une valeur pratique dans mon parcours d'immigration, mais ma motivation ne se limite pas à un examen.","Pourquoi le Canada / le français","https://evolxd.github.io/TCFOral/audio/b2/tache1-05-pourquoi-le-canada-le-frana-ais-02-bien-sur-cette-langue-a-aussi-une-valeur-pratique-dans-mon-parco.mp3?v=18"
"19","[05 Pourquoi le Canada / le français｜3] 法语能让我更好地理解我所生活的社会，并在日常生活中更加独立。","Le français me permet de mieux comprendre la société dans laquelle je vis et de devenir plus autonome au quotidien.","Pourquoi le Canada / le français","https://evolxd.github.io/TCFOral/audio/b2/tache1-05-pourquoi-le-canada-le-frana-ais-03-le-francais-me-permet-de-mieux-comprendre-la-societe-dans-laquel.mp3?v=18"
"20","[05 Pourquoi le Canada / le français｜4] 虽然进步需要持续努力，但我的目标是在个人和职业生活中都能自然地表达。","Même si les progrès demandent des efforts réguliers, mon objectif est de pouvoir m'exprimer spontanément dans ma vie personnelle et professionnelle.","Pourquoi le Canada / le français","https://evolxd.github.io/TCFOral/audio/b2/tache1-05-pourquoi-le-canada-le-frana-ais-04-meme-si-les-progres-demandent-des-efforts-reguliers-mon-objectif.mp3?v=18"
"21","[06 Réponses courtes prêtes à sortir｜1] 如果职责清楚，我更喜欢团队合作，因为直接沟通能让工作推进得更高效；不过需要专注时，我也会独立工作。","Je préfère travailler en équipe lorsque les responsabilités sont claires, car une communication directe permet d'avancer plus efficacement, même si je travaille seul quand j'ai besoin de concentration.","Réponses courtes prêtes à sortir","https://evolxd.github.io/TCFOral/audio/b2/tache1-06-ra-ponses-courtes-pra-tes-a-sortir-01-je-prefere-travailler-en-equipe-lorsque-les-responsabilites-sont.mp3?v=18"
"22","[06 Réponses courtes prêtes à sortir｜2] 我会形容自己是一个坚持而务实的人，因为无论做生意还是学习，我都能接受一步一步地进步。","Je me décrirais comme quelqu'un de persévérant et de pragmatique, car dans les affaires comme dans l'apprentissage, j'accepte de progresser étape par étape.","Réponses courtes prêtes à sortir","https://evolxd.github.io/TCFOral/audio/b2/tache1-06-ra-ponses-courtes-pra-tes-a-sortir-02-je-me-decrirais-comme-quelqu-un-de-perseverant-et-de-pragmatique.mp3?v=18"
"23","[06 Réponses courtes prêtes à sortir｜3] 周末我会在休息、家庭和一些有益活动之间寻找平衡，尤其是散步和学习法语。","Le week-end, j'essaie de trouver un équilibre entre le repos, la famille et quelques activités utiles, notamment la marche et l'apprentissage du français.","Réponses courtes prêtes à sortir","https://evolxd.github.io/TCFOral/audio/b2/tache1-06-ra-ponses-courtes-pra-tes-a-sortir-03-le-week-end-j-essaie-de-trouver-un-equilibre-entre-le-repos-la-f.mp3?v=18"
"24","[06 Réponses courtes prêtes à sortir｜4] 如果要选择一种核心品质，我会说是适应能力，因为无论在贸易中还是来到一个新国家，它都能让人更好地应对变化。","Si je devais choisir une qualité essentielle, je dirais l'adaptabilité, parce qu'elle permet de mieux réagir aux changements, aussi bien dans le commerce que dans un nouveau pays.","Réponses courtes prêtes à sortir","https://evolxd.github.io/TCFOral/audio/b2/tache1-06-ra-ponses-courtes-pra-tes-a-sortir-04-si-je-devais-choisir-une-qualite-essentielle-je-dirais-l-adaptab.mp3?v=18"
"25","[07 礼貌进入情境｜1] 您好，谢谢您抽时间给我介绍情况。","Bonjour, merci de prendre un moment pour me renseigner.","礼貌进入情境","https://evolxd.github.io/TCFOral/audio/b2/tache2-07-c-e-e-a-a-01-bonjour-merci-de-prendre-un-moment-pour-me-renseigner.mp3?v=18"
"26","[07 礼貌进入情境｜2] 我刚到这里，对这里的运作方式还不太熟悉。","Je viens d'arriver et je ne connais pas encore très bien le fonctionnement ici.","礼貌进入情境","https://evolxd.github.io/TCFOral/audio/b2/tache2-07-c-e-e-a-a-02-je-viens-d-arriver-et-je-ne-connais-pas-encore-tres-bien-le-fonc.mp3?v=18"
"27","[07 礼貌进入情境｜3] 为了避免误解，在做决定之前我想问您几个具体问题。","Pour éviter de mal comprendre, j'aimerais vous poser quelques questions précises avant de prendre une décision.","礼貌进入情境","https://evolxd.github.io/TCFOral/audio/b2/tache2-07-c-e-e-a-a-03-pour-eviter-de-mal-comprendre-j-aimerais-vous-poser-quelques-que.mp3?v=18"
"28","[07 礼貌进入情境｜4] 我的主要目标是弄清楚条件、步骤，以及需要特别注意的重点。","Mon objectif est surtout de comprendre les conditions, les étapes et les points importants auxquels je dois faire attention.","礼貌进入情境","https://evolxd.github.io/TCFOral/audio/b2/tache2-07-c-e-e-a-a-04-mon-objectif-est-surtout-de-comprendre-les-conditions-les-etapes.mp3?v=18"
"29","[08 合租/租房核心问题｜1] 首先，您能具体介绍一下这个住房吗？","Pour commencer, pourriez-vous me décrire le logement de manière concrète ?","合租/租房核心问题","https://evolxd.github.io/TCFOral/audio/b2/tache2-08-a-c-c-a-e-e-01-pour-commencer-pourriez-vous-me-decrire-le-logement-de-maniere-c.mp3?v=18"
"30","[08 合租/租房核心问题｜2] 我想了解面积、整体状况、已有家具，也想知道楼里的氛围。","J'aimerais connaître la superficie, l'état général et les meubles disponibles, mais aussi l'ambiance de l'immeuble.","合租/租房核心问题","https://evolxd.github.io/TCFOral/audio/b2/tache2-08-a-c-c-a-e-e-02-j-aimerais-connaitre-la-superficie-l-etat-general-et-les-meubles.mp3?v=18"
"31","[08 合租/租房核心问题｜3] 接着，房租里包含什么：暖气、电费、网络或保险吗？","Ensuite, qu'est-ce qui est inclus dans le loyer : chauffage, électricité, Internet ou assurance ?","合租/租房核心问题","https://evolxd.github.io/TCFOral/audio/b2/tache2-08-a-c-c-a-e-e-03-ensuite-qu-est-ce-qui-est-inclus-dans-le-loyer-chauffage-electri.mp3?v=18"
"32","[08 合租/租房核心问题｜4] 日常生活方面，关于噪音、访客或公共空间有没有特别规定？","Et pour la vie quotidienne, y a-t-il des règles particulières concernant le bruit, les invités ou les espaces communs ?","合租/租房核心问题","https://evolxd.github.io/TCFOral/audio/b2/tache2-08-a-c-c-a-e-e-04-et-pour-la-vie-quotidienne-y-a-t-il-des-regles-particulieres-con.mp3?v=18"
"33","[08 合租/租房核心问题｜5] 最后，这个街区在交通、购物和办理行政手续方面方便吗？","Enfin, le quartier est-il pratique pour les transports, les courses et les démarches administratives ?","合租/租房核心问题","https://evolxd.github.io/TCFOral/audio/b2/tache2-08-a-c-c-a-e-e-05-enfin-le-quartier-est-il-pratique-pour-les-transports-les-course.mp3?v=18"
